Protein Accession	DNA Accession	AMR Gene Family	Drug Class	Resistance Mechanism
CCP44620.1	AL123456.3	antibiotic resistant ndh	isoniazid-like antibiotic	antibiotic target alteration
CCP46014.1	AL123456.3	ethionamide resistant nudC	thioamide antibiotic	antibiotic target alteration
CCP46014.1	AL123456.3	isoniazid resistant nudC	isoniazid-like antibiotic	antibiotic target alteration
CCP44816.1	AL123456.1	Pyrazinamide resistant pncA	pyrazine antibiotic	antibiotic target alteration
CCP42772.1	AL123456.3	rifamycin resistant ponA1	rifamycin antibiotic	antibiotic target alteration
CCP45736.1	AL123456.3	antibiotic resistant polyketide synthase genes	pyrazine antibiotic	antibiotic target alteration
CCP45737.1	AL123456.3	antibiotic resistant polyketide synthase genes	pyrazine antibiotic	antibiotic target alteration
CCP45469.1	AL123456.3	aminosalicylate resistant dihydrofolate reductase	salicylic acid antibiotic	antibiotic target replacement
CCP46279.1	AL123456.3	rifampicin resistant rpoA	rifamycin antibiotic	antibiotic target alteration
CCP43410.1	AL123456.3	rifamycin-resistant beta-subunit of RNA polymerase (rpoB)	N/A	antibiotic target alteration;antibiotic target replacement
CCP43411.1	AL123456.3	rifampicin resistant rpoC	rifamycin antibiotic	antibiotic target alteration
CCP44394.1	AL123456.3	pyrazinamide resistant rpsA	pyrazine antibiotic	antibiotic target alteration
AAK44936.1	AE000516.1	antibiotic-resistant rpsL	N/A	antibiotic target alteration
CCP42918.1	AL123456.3	pyrazinamide resistant Rv0191	pyrazine antibiotic	antibiotic target alteration
CCP43303.1	AL123456.3	Ethionamide resistant Rv0565c	thioamide antibiotic	antibiotic target alteration
AAK45555.1	AE000516.2	multidrug resistant Rv1258c	aminoglycoside antibiotic;isoniazid-like antibiotic;polyamine antibiotic;pyrazine antibiotic	antibiotic target alteration
CCP44014.1	AL123456.3	streptomycin resistant Rv1258c	aminoglycoside antibiotic	antibiotic target alteration
CCP44432.1	AL123456.3	pyrazinamide resistant Rv1667	pyrazine antibiotic	antibiotic target alteration
CCP45529.1	AL123456.3	pyrazinamide resistant Rv2731	pyrazine antibiotic	antibiotic target alteration
CCP45980.1	AL123456.3	pyrazinamide resistant Rv3169	pyrazine antibiotic	antibiotic target alteration
CCP43945.1	AL123456.3	isoniazid resistant sigI	isoniazid-like antibiotic	antibiotic target alteration
CCP45563.1	AL123456.3	aminosalicylate resistant thymidylate synthase	salicylic acid antibiotic	antibiotic target alteration
AAK46002.1	AE000516.1	Antibiotic resistant tlyA	aminoglycoside antibiotic	antibiotic target alteration
CCP46635.1	AL123456.3	ethambutol resistant ubiA	polyamine antibiotic	antibiotic target alteration
CDO45096.1	BX248333.1	ethambutol resistant embB	polyamine antibiotic	antibiotic target alteration
CAL71877.1	AM408590.1	antibiotic resistant ndh	isoniazid-like antibiotic	antibiotic target alteration
CCP46011.1	AL123456.3	streptomycin resistant whib7	aminoglycoside antibiotic	antibiotic target alteration
CCP46011.1	AL123456.3	Kanamycin resistant whib7	aminoglycoside antibiotic	antibiotic target alteration
N/A	CU458896.1	16s rRNA with mutation conferring resistance to aminoglycoside antibiotics	N/A	antibiotic target alteration
N/A	NC_010397.1	23S rRNA with mutation conferring resistance to macrolide antibiotics	N/A	antibiotic target alteration
N/A	NR_114659.1	16s rRNA with mutation conferring resistance to aminoglycoside antibiotics	N/A	antibiotic target alteration
N/A	NR_114659.1	16s rRNA with mutation conferring resistance to aminoglycoside antibiotics	aminoglycoside antibiotic	antibiotic target alteration
N/A	GU143889.1	23S rRNA with mutation conferring resistance to macrolide antibiotics	macrolide antibiotic	antibiotic target alteration
N/A	NC_008596.1	16s rRNA with mutation conferring resistance to aminoglycoside antibiotics	N/A	antibiotic target alteration
N/A	NC_008596.1	16s rRNA with mutation conferring resistance to peptide antibiotics	peptide antibiotic	antibiotic target alteration
N/A	X52922.1	16s rRNA with mutation conferring resistance to aminoglycoside antibiotics	N/A	antibiotic target alteration
N/A	NC_008596.1	16s rRNA with mutation conferring resistance to aminoglycoside antibiotics	aminoglycoside antibiotic	antibiotic target alteration
N/A	AB011184.1	23S rRNA with mutation conferring resistance to macrolide antibiotics	macrolide antibiotic	antibiotic target alteration
AIU22003.1	CP009496.1	antibiotic resistant ndh	isoniazid-like antibiotic	antibiotic target alteration
N/A	NC_004829.2	23S rRNA with mutation conferring resistance to pleuromutilin antibiotics	pleuromutilin antibiotic	antibiotic target alteration
N/A	L43967.2	23S rRNA with mutation conferring resistance to macrolide antibiotics	fluoroquinolone antibiotic;macrolide antibiotic	antibiotic target alteration
AAC71220.1	L43967.2	fluoroquinolone resistant gyrA	fluoroquinolone antibiotic	antibiotic target alteration
WP_010869372.1	NC_000908.2	fluoroquinolone resistant parC	fluoroquinolone antibiotic	antibiotic target alteration
N/A	CP011538.1	23S rRNA with mutation conferring resistance to macrolide antibiotics	macrolide antibiotic	antibiotic target alteration
AKJ52802.1	CP011538.1	fluoroquinolone resistant parC	fluoroquinolone antibiotic	antibiotic target alteration
N/A	NR_077056.1	23S rRNA with mutation conferring resistance to macrolide antibiotics	N/A	antibiotic target alteration
N/A	NC_021002.1	23S rRNA with mutation conferring resistance to macrolide antibiotics	macrolide antibiotic	antibiotic target alteration
WP_081048762.1	NG_059325.1	MYO beta-lactamase	carbapenem	antibiotic inactivation
BAA03674.1	D16099.1	non-erm 23S ribosomal RNA methyltransferase (G748)	lincosamide antibiotic;macrolide antibiotic	antibiotic target alteration
WP_011550565.1	NG_057453.1	MYX beta-lactamase	carbapenem	antibiotic inactivation
AAG07108.1	AE004091.2	resistance-nodulation-cell division (RND) antibiotic efflux pump	aminocoumarin antibiotic;carbapenem;cephalosporin;cephamycin;diaminopyrimidine antibiotic;fluoroquinolone antibiotic;macrolide antibiotic;monobactam;penam;penem;peptide antibiotic;phenicol antibiotic;sulfonamide antibiotic;tetracycline antibiotic	antibiotic efflux
AAG06962.1	AE004091.2	resistance-nodulation-cell division (RND) antibiotic efflux pump	aminocoumarin antibiotic;carbapenem;cephalosporin;cephamycin;diaminopyrimidine antibiotic;fluoroquinolone antibiotic;macrolide antibiotic;monobactam;penam;penem;peptide antibiotic;phenicol antibiotic;sulfonamide antibiotic;tetracycline antibiotic	antibiotic efflux
CAZ39946.1	FN396876.1	NDM beta-lactamase	carbapenem;cephalosporin;cephamycin;penam	antibiotic inactivation
AGT37351.1	KF361506.1	NDM beta-lactamase	carbapenem;cephalosporin;cephamycin;penam	antibiotic inactivation
AJE61443.1	KP265939.1	NDM beta-lactamase	carbapenem;cephalosporin;cephamycin;penam	antibiotic inactivation
BAO79439.1	AB926431.1	NDM beta-lactamase	carbapenem;cephalosporin;cephamycin;penam	antibiotic inactivation
BAQ02518.1	LC012596.1	NDM beta-lactamase	carbapenem;cephalosporin;cephamycin;penam	antibiotic inactivation
AJP18054.1	KM210086.1	NDM beta-lactamase	carbapenem;cephalosporin;cephamycin;penam	antibiotic inactivation
AKF43458.1	KP735848.1	NDM beta-lactamase	carbapenem;cephalosporin;cephamycin;penam	antibiotic inactivation
AKZ20823.1	KP862821.1	NDM beta-lactamase	carbapenem;cephalosporin;cephamycin;penam	antibiotic inactivation
AOT73359.1	KX812714.1	NDM beta-lactamase	carbapenem;cephalosporin;cephamycin;penam	antibiotic inactivation
APZ75411.1	KY503030.1	NDM beta-lactamase	carbapenem;cephalosporin;cephamycin;penam	antibiotic inactivation
ASC49561.1	MF370080.1	NDM beta-lactamase	carbapenem;cephalosporin;cephamycin;penam	antibiotic inactivation
AEA41876.1	JF703135.1	NDM beta-lactamase	carbapenem;cephalosporin;cephamycin;penam	antibiotic inactivation
AQY45923.1	KY654092.1	NDM beta-lactamase	carbapenem;cephalosporin;cephamycin;penam	antibiotic inactivation
ATJ25942.1	MG183694.1	NDM beta-lactamase	carbapenem;cephalosporin;cephamycin;penam	antibiotic inactivation
AWI33311.1	MH243357.1	NDM beta-lactamase	carbapenem;cephalosporin;cephamycin;penam	antibiotic inactivation
AWU66462.1	MH450214.1	NDM beta-lactamase	carbapenem;cephalosporin;cephamycin;penam	antibiotic inactivation
AWU66463.1	MH450215.1	NDM beta-lactamase	carbapenem;cephalosporin;cephamycin;penam	antibiotic inactivation
AYF56302.1	MH986670.1	NDM beta-lactamase	carbapenem;cephalosporin;cephamycin;penam	antibiotic inactivation
WP_156404655.1	NG_067144.1	NDM beta-lactamase	carbapenem;cephalosporin;cephamycin;penam	antibiotic inactivation
AYP70146.1	MK105832.1	NDM beta-lactamase	carbapenem;cephalosporin;cephamycin;penam	antibiotic inactivation
QAT97614.1	MK425035.1	NDM beta-lactamase	carbapenem;cephalosporin;cephamycin;penam	antibiotic inactivation
QFZ95817.1	MN624980.1	NDM beta-lactamase	carbapenem;cephalosporin;cephamycin;penam	antibiotic inactivation
AFK80349.1	JQ734687.1	NDM beta-lactamase	carbapenem;cephalosporin;cephamycin;penam	antibiotic inactivation
WP_197749405.1	NG_071206.1	NDM beta-lactamase	carbapenem;cephalosporin;cephamycin;penam	antibiotic inactivation
WP_197749406.1	NG_071207.1	NDM beta-lactamase	carbapenem;cephalosporin;cephamycin;penam	antibiotic inactivation
UBU60937.1	MZ004933.1	NDM beta-lactamase	carbapenem;cephalosporin;cephamycin;fluoroquinolone antibiotic;penam	antibiotic inactivation
AFB82585.1	JQ348841.1	NDM beta-lactamase	carbapenem;cephalosporin;cephamycin;penam;penem	antibiotic inactivation
AEN03071.1	JN104597.1	NDM beta-lactamase	carbapenem;cephalosporin;cephamycin;penam	antibiotic inactivation
AEX08599.1	JN967644.1	NDM beta-lactamase	carbapenem;cephalosporin;cephamycin;penam	antibiotic inactivation
AFQ31613.1	JX262694.1	NDM beta-lactamase	carbapenem;cephalosporin;cephamycin;penam	antibiotic inactivation
BAM84089.1	AB744718.1	NDM beta-lactamase	carbapenem;cephalosporin;cephamycin;penam	antibiotic inactivation
AGU91756.1	KC999080.2	NDM beta-lactamase	carbapenem;cephalosporin;cephamycin;penam	antibiotic inactivation
N/A	CP020418.1	16s rRNA with mutation conferring resistance to aminoglycoside antibiotics	N/A	antibiotic target alteration
N/A	NR_103957.1	23S rRNA with mutation conferring resistance to macrolide antibiotics	macrolide antibiotic	antibiotic target alteration
KAE9504908.1	WHPL01000002.1	sulfonamide resistant dihydropteroate synthase folP	N/A	antibiotic target alteration
AAW89357.1	AE004969.1	fluoroquinolone resistant gyrA	fluoroquinolone antibiotic	antibiotic target alteration
CNT74515.1	CQOZ01000008.1	Zoliflodacin resistant gyrB	zoliflodacin-like antibiotic	antibiotic target alteration
QIH19826.1	CP043871.1	resistance-nodulation-cell division (RND) antibiotic efflux pump	macrolide antibiotic;penam	antibiotic efflux
ACF30254.1	CP001050.1	resistance-nodulation-cell division (RND) antibiotic efflux pump	macrolide antibiotic	antibiotic efflux
AAW89918.1	AE004969.1	fluoroquinolone resistant parC	fluoroquinolone antibiotic	antibiotic target alteration
AAB52541.1	U80933.1	Penicillin-binding protein mutations conferring resistance to beta-lactam antibiotics	N/A	antibiotic target alteration
AAA25463.1	M32091.1	Penicillin-binding protein mutations conferring resistance to beta-lactam antibiotics	N/A	antibiotic target alteration
VEG60537.1	LR134358.1	Penicillin-binding protein mutations conferring resistance to beta-lactam antibiotics	N/A	antibiotic target alteration
AAB57788.1	U75641.1	General Bacterial Porin with reduced permeability to beta-lactams	carbapenem;cephalosporin;cephamycin;monobactam;penam;penem;tetracycline antibiotic	reduced permeability to antibiotic
WP_003690088.1	AE004969.1	50S rRNA with mutation conferring resistance to macrolide antibiotics	macrolide antibiotic	antibiotic target alteration
N/A	NC_003112.1	16s rRNA with mutation conferring resistance to aminoglycoside antibiotics	N/A	antibiotic target alteration
AAF40852.1	AE002098.2	Penicillin-binding protein mutations conferring resistance to beta-lactam antibiotics	N/A	antibiotic target alteration
CAA50581.1	X71444.1	nitroimidazole reductase	nitroimidazole antibiotic	antibiotic inactivation
CAA50578.1	X71443.1	nitroimidazole reductase	nitroimidazole antibiotic	antibiotic inactivation
CAA54269.1	X76948.1	nitroimidazole reductase	nitroimidazole antibiotic	antibiotic inactivation
CAA54273.1	X76949.1	nitroimidazole reductase	nitroimidazole antibiotic	antibiotic inactivation
QCQ47774.1	CP036548.1	nitroimidazole reductase	nitroimidazole antibiotic	antibiotic inactivation
CAD56147.1	AJ515145.1	nitroimidazole reductase	nitroimidazole antibiotic	antibiotic inactivation
OUQ50894.1	NFLR01000029.1	nitroimidazole reductase	nitroimidazole antibiotic	antibiotic inactivation
ACR56004.1	FJ969397.1	nitroimidazole reductase	nitroimidazole antibiotic	antibiotic inactivation
ERK40265.1	AWEY01000007.1	nitroimidazole reductase	nitroimidazole antibiotic	antibiotic inactivation
AIM40056.1	KJ816753.1	nitroimidazole reductase	nitroimidazole antibiotic	antibiotic inactivation
AXA20009.1	MG827401.1	nitroimidazole reductase	nitroimidazole antibiotic	antibiotic inactivation
CAA79967.1	Z21956.1	NmcA beta-lactamase	carbapenem;cephalosporin;cephamycin;penam	antibiotic inactivation
CAA79966.1	Z21956.1	NmcA beta-lactamase	carbapenem;cephalosporin;cephamycin;penam	antibiotic inactivation
AAS68233.1	AY566250.1	major facilitator superfamily (MFS) antibiotic efflux pump	disinfecting agents and antiseptics;fluoroquinolone antibiotic	antibiotic efflux
CCQ22388.1	HE999704.1	major facilitator superfamily (MFS) antibiotic efflux pump	fluoroquinolone antibiotic	antibiotic efflux
AGP27106.1	CP005288.1	major facilitator superfamily (MFS) antibiotic efflux pump	disinfecting agents and antiseptics;fluoroquinolone antibiotic	antibiotic efflux
AAF67494.2	AF170880.4	ATP-binding cassette (ABC) antibiotic efflux pump	aminocoumarin antibiotic	antibiotic efflux
BAF80809.1	AB261016.2	16S rRNA methyltransferase (A1408)	aminoglycoside antibiotic	antibiotic target alteration
AAK14791.1	AY027589.1	NPS beta-lactamase	cephalosporin;penam	antibiotic inactivation
CAC04522.1	AJ401618.1	OCH beta-lactamase	cephalosporin;cephamycin;monobactam;penam;penem	antibiotic inactivation
CAC17622.1	AJ295340.1	OCH beta-lactamase	cephalosporin;cephamycin;monobactam;penam;penem	antibiotic inactivation
CAC17623.1	AJ295341.1	OCH beta-lactamase	cephalosporin;cephamycin;monobactam;penam;penem	antibiotic inactivation
CAC17624.1	AJ295342.1	OCH beta-lactamase	cephalosporin;cephamycin;monobactam;penam;penem	antibiotic inactivation
CAC17625.1	AJ295343.1	OCH beta-lactamase	cephalosporin;cephamycin;monobactam;penam;penem	antibiotic inactivation
CAC17626.1	AJ295344.1	OCH beta-lactamase	cephalosporin;cephamycin;monobactam;penam;penem	antibiotic inactivation
CAC17627.1	AJ295345.1	OCH beta-lactamase	cephalosporin;cephamycin;monobactam;penam;penem	antibiotic inactivation
ABF50909.1	DQ489307.1	OCH beta-lactamase	cephalosporin;cephamycin;monobactam;penam;penem	antibiotic inactivation
WP_063860895.1	NG_049352.1	OHIO beta-lactamase	cephalosporin	antibiotic inactivation
CAG25812.2	AJ635401.2	OKP beta-lactamase	cephalosporin;penam	antibiotic inactivation
CAJ19608.1	AM051149.1	OKP beta-lactamase	cephalosporin;penam	antibiotic inactivation
CAP12353.2	AM850915.2	OKP beta-lactamase	cephalosporin;penam	antibiotic inactivation
CAP12354.2	AM850916.2	OKP beta-lactamase	cephalosporin;penam	antibiotic inactivation
ACL68096.1	FJ534513.1	OKP beta-lactamase	cephalosporin;penam	antibiotic inactivation
ACL68095.1	FJ534512.1	OKP beta-lactamase	cephalosporin;penam	antibiotic inactivation
ACN65419.1	FJ755841.1	OKP beta-lactamase	cephalosporin;penam	antibiotic inactivation
ACN65418.1	FJ755840.1	OKP beta-lactamase	cephalosporin;penam	antibiotic inactivation
WP_023289605.1	NG_049361.1	OKP beta-lactamase	cephalosporin;penam	antibiotic inactivation
CAG25815.2	AJ635404.2	OKP beta-lactamase	cephalosporin;penam	antibiotic inactivation
CAJ19599.1	AM051140.1	OKP beta-lactamase	cephalosporin;penam	antibiotic inactivation
CAJ19601.1	AM051142.1	OKP beta-lactamase	cephalosporin;penam	antibiotic inactivation
CAJ19602.1	AM051143.1	OKP beta-lactamase	cephalosporin;penam	antibiotic inactivation
CAJ19603.1	AM051144.1	OKP beta-lactamase	cephalosporin;penam	antibiotic inactivation
CAJ19605.1	AM051146.1	OKP beta-lactamase	cephalosporin;penam	antibiotic inactivation
CAJ19606.1	AM051147.1	OKP beta-lactamase	cephalosporin;penam	antibiotic inactivation
CAJ19607.1	AM051148.1	OKP beta-lactamase	cephalosporin;penam	antibiotic inactivation
CAG25813.2	AJ635402.2	OKP beta-lactamase	cephalosporin;penam	antibiotic inactivation
CAJ19619.1	AM051160.1	OKP beta-lactamase	cephalosporin;penam	antibiotic inactivation
CAJ19620.1	AM051161.1	OKP beta-lactamase	cephalosporin;penam	antibiotic inactivation
CAG25831.1	AJ635420.1	OKP beta-lactamase	cephalosporin;penam	antibiotic inactivation
AAV80715.1	AY825330.1	OKP beta-lactamase	cephalosporin;penam	antibiotic inactivation
WP_064183695.1	NG_067146.1	OKP beta-lactamase	cephalosporin;penam	antibiotic inactivation
CAP12357.2	AM850919.2	OKP beta-lactamase	cephalosporin;penam	antibiotic inactivation
CAP12358.1	AM850920.1	OKP beta-lactamase	cephalosporin;penam	antibiotic inactivation
CAP12359.2	AM850921.2	OKP beta-lactamase	cephalosporin;penam	antibiotic inactivation
